Sexo;Comunidades y Ciudades Autónomas;Edad;Periodo;Total
Ambos sexos;Total Nacional;De 25 a 34 años;2017T2;4.690,10
Ambos sexos;Total Nacional;De 25 a 34 años;2017T1;4.701,30
Ambos sexos;Total Nacional;De 25 a 34 años;2016T4;4.765,20
Ambos sexos;Total Nacional;De 25 a 34 años;2016T3;4.836,60
Ambos sexos;Total Nacional;De 25 a 34 años;2016T2;4.861,60
Ambos sexos;Total Nacional;De 25 a 34 años;2016T1;4.915,20
Ambos sexos;Total Nacional;De 25 a 34 años;2015T4;4.971,50
Ambos sexos;Total Nacional;De 25 a 34 años;2015T3;5.048,30
Ambos sexos;Total Nacional;De 25 a 34 años;2015T2;5.147,10
Ambos sexos;Total Nacional;De 25 a 34 años;2015T1;5.210,80
Ambos sexos;Total Nacional;De 25 a 34 años;2014T4;5.282,40
Ambos sexos;Total Nacional;De 25 a 34 años;2014T3;5.317,70
Ambos sexos;Total Nacional;De 25 a 34 años;2014T2;5.393,70
Ambos sexos;Total Nacional;De 25 a 34 años;2014T1;5.451,60
Ambos sexos;Total Nacional;De 25 a 34 años;2013T4;5.545,90
Ambos sexos;Total Nacional;De 25 a 34 años;2013T3;5.615,00
Ambos sexos;Total Nacional;De 25 a 34 años;2013T2;5.688,50
Ambos sexos;Total Nacional;De 25 a 34 años;2013T1;5.798,00
Ambos sexos;Total Nacional;De 25 a 34 años;2012T4;5.884,30
Ambos sexos;Total Nacional;De 25 a 34 años;2012T3;5.943,80
Ambos sexos;Total Nacional;De 25 a 34 años;2012T2;6.027,20
Ambos sexos;Total Nacional;De 25 a 34 años;2012T1;6.077,60
Ambos sexos;Total Nacional;De 25 a 34 años;2011T4;6.152,10
Ambos sexos;Total Nacional;De 25 a 34 años;2011T3;6.202,50
Ambos sexos;Total Nacional;De 25 a 34 años;2011T2;6.305,10
Ambos sexos;Total Nacional;De 25 a 34 años;2011T1;6.320,20
Ambos sexos;Total Nacional;De 25 a 34 años;2010T4;6.409,70
Ambos sexos;Total Nacional;De 25 a 34 años;2010T3;6.465,00
Ambos sexos;Total Nacional;De 25 a 34 años;2010T2;6.503,20
Ambos sexos;Total Nacional;De 25 a 34 años;2010T1;6.569,40
Ambos sexos;Total Nacional;De 25 a 34 años;2009T4;6.594,90
Ambos sexos;Total Nacional;De 25 a 34 años;2009T3;6.590,90
Ambos sexos;Total Nacional;De 25 a 34 años;2009T2;6.674,20
Ambos sexos;Total Nacional;De 25 a 34 años;2009T1;6.761,40
Ambos sexos;Total Nacional;De 25 a 34 años;2008T4;6.775,30
Ambos sexos;Total Nacional;De 25 a 34 años;2008T3;6.750,30
Ambos sexos;Total Nacional;De 25 a 34 años;2008T2;6.789,30
Ambos sexos;Total Nacional;De 25 a 34 años;2008T1;6.770,80
Ambos sexos;Total Nacional;De 25 a 34 años;2007T4;6.757,00
Ambos sexos;Total Nacional;De 25 a 34 años;2007T3;6.701,90
Ambos sexos;Total Nacional;De 25 a 34 años;2007T2;6.670,10
Ambos sexos;Total Nacional;De 25 a 34 años;2007T1;6.651,30
Ambos sexos;Total Nacional;De 25 a 34 años;2006T4;6.655,20
Ambos sexos;Total Nacional;De 25 a 34 años;2006T3;6.580,50
Ambos sexos;Total Nacional;De 25 a 34 años;2006T2;6.557,60
Ambos sexos;Total Nacional;De 25 a 34 años;2006T1;6.539,70
Ambos sexos;Total Nacional;De 25 a 34 años;2005T4;6.507,40
Ambos sexos;Total Nacional;De 25 a 34 años;2005T3;6.446,90
Ambos sexos;Total Nacional;De 25 a 34 años;2005T2;6.449,70
Ambos sexos;Total Nacional;De 25 a 34 años;2005T1;6.406,80
Ambos sexos;Total Nacional;De 25 a 34 años;2004T4;6.407,80
Ambos sexos;Total Nacional;De 25 a 34 años;2004T3;6.336,30
Ambos sexos;Total Nacional;De 25 a 34 años;2004T2;6.281,80
Ambos sexos;Total Nacional;De 25 a 34 años;2004T1;6.239,60
Ambos sexos;Total Nacional;De 25 a 34 años;2003T4;6.240,30
Ambos sexos;Total Nacional;De 25 a 34 años;2003T3;6.170,90
Ambos sexos;Total Nacional;De 25 a 34 años;2003T2;6.093,90
Ambos sexos;Total Nacional;De 25 a 34 años;2003T1;6.034,10
Ambos sexos;Total Nacional;De 25 a 34 años;2002T4;5.951,10
Ambos sexos;Total Nacional;De 25 a 34 años;2002T3;5.905,20
Ambos sexos;Total Nacional;De 25 a 34 años;2002T2;5.837,70
Ambos sexos;Total Nacional;De 25 a 34 años;2002T1;5.771,20
Ambos sexos;Total Nacional;De 35 a 44 años;2023T3;5.890,10
Ambos sexos;Total Nacional;De 35 a 44 años;2023T2;5.908,50
Ambos sexos;Total Nacional;De 35 a 44 años;2023T1;5.939,80
Ambos sexos;Total Nacional;De 35 a 44 años;2022T4;5.994,10
Ambos sexos;Total Nacional;De 35 a 44 años;2022T3;5.967,80
Ambos sexos;Total Nacional;De 35 a 44 años;2022T2;5.981,70
Ambos sexos;Total Nacional;De 35 a 44 años;2022T1;6.039,40
Ambos sexos;Total Nacional;De 35 a 44 años;2021T4;6.129,80
Ambos sexos;Total Nacional;De 35 a 44 años;2021T3;6.184,50
Ambos sexos;Total Nacional;De 35 a 44 años;2021T2;6.215,60
Ambos sexos;Total Nacional;De 35 a 44 años;2021T1;6.194,40
Ambos sexos;Total Nacional;De 35 a 44 años;2020T4;6.297,20
Ambos sexos;Total Nacional;De 35 a 44 años;2020T3;6.275,70
Ambos sexos;Total Nacional;De 35 a 44 años;2020T2;6.120,20
Ambos sexos;Total Nacional;De 35 a 44 años;2020T1;6.437,20
Ambos sexos;Total Nacional;De 35 a 44 años;2019T4;6.524,50
Ambos sexos;Total Nacional;De 35 a 44 años;2019T3;6.507,50
Ambos sexos;Total Nacional;De 35 a 44 años;2019T2;6.567,00
Ambos sexos;Total Nacional;De 35 a 44 años;2019T1;6.584,80
Ambos sexos;Total Nacional;De 35 a 44 años;2018T4;6.639,10
Ambos sexos;Total Nacional;De 35 a 44 años;2018T3;6.639,50
Ambos sexos;Total Nacional;De 35 a 44 años;2018T2;6.691,70
Ambos sexos;Total Nacional;De 35 a 44 años;2018T1;6.730,60
Ambos sexos;Total Nacional;De 35 a 44 años;2017T4;6.761,30
Ambos sexos;Total Nacional;De 35 a 44 años;2017T3;6.761,30
Ambos sexos;Total Nacional;De 35 a 44 años;2017T2;6.818,50
Ambos sexos;Total Nacional;De 35 a 44 años;2017T1;6.878,10
Ambos sexos;Total Nacional;De 35 a 44 años;2016T4;6.900,90
Ambos sexos;Total Nacional;De 35 a 44 años;2016T3;6.896,60
Ambos sexos;Total Nacional;De 35 a 44 años;2016T2;6.960,60
Ambos sexos;Total Nacional;De 35 a 44 años;2016T1;6.969,90
Ambos sexos;Total Nacional;De 35 a 44 años;2015T4;6.973,00
Ambos sexos;Total Nacional;De 35 a 44 años;2015T3;6.924,00
Ambos sexos;Total Nacional;De 35 a 44 años;2015T2;7.024,10
Ambos sexos;Total Nacional;De 35 a 44 años;2015T1;6.992,70
Ambos sexos;Total Nacional;De 35 a 44 años;2014T4;7.038,50
Ambos sexos;Total Nacional;De 35 a 44 años;2014T3;6.986,30
Ambos sexos;Total Nacional;De 35 a 44 años;2014T2;7.022,00
Ambos sexos;Total Nacional;De 35 a 44 años;2014T1;6.987,10
Ambos sexos;Total Nacional;De 35 a 44 años;2013T4;7.038,60
Ambos sexos;Total Nacional;De 35 a 44 años;2013T3;6.988,90
Ambos sexos;Total Nacional;De 35 a 44 años;2013T2;7.030,60
Ambos sexos;Total Nacional;De 35 a 44 años;2013T1;7.050,40
Ambos sexos;Total Nacional;De 35 a 44 años;2012T4;7.049,40
Ambos sexos;Total Nacional;De 35 a 44 años;2012T3;6.999,10
Ambos sexos;Total Nacional;De 35 a 44 años;2012T2;7.013,30
Ambos sexos;Total Nacional;De 35 a 44 años;2012T1;7.031,90
